,crw,cdevice,readBW,writeBW,avgreadlat,avgwritelat
0,randread,ssd,2.6 GB,0.0 B,92.4 µs,0.0 ns
1,randread,zram,15.1 GB,0.0 B,12.8 µs,0.0 ns
2,randrw,ssd,791.8 MB,791.4 MB,142.5 µs,169.7 µs
3,randrw,zram,1.8 GB,1.8 GB,9.5 µs,114.6 µs
4,randwrite,ssd,0.0 B,1.2 GB,0.0 ns,197.9 µs
5,randwrite,zram,0.0 B,2.0 GB,0.0 ns,111.9 µs
6,read,ssd,6.2 GB,0.0 B,38.9 µs,0.0 ns
7,read,zram,18.6 GB,0.0 B,10.9 µs,0.0 ns
8,rw,ssd,1.5 GB,1.5 GB,7.2 µs,150.6 µs
9,rw,zram,1.8 GB,1.8 GB,3.4 µs,121.9 µs
10,write,ssd,0.0 B,1.6 GB,0.0 ns,156.3 µs
11,write,zram,0.0 B,2.0 GB,0.0 ns,111.5 µs
