,crw,cdevice,readBW_bytes,writeBW_bytes,avgreadlat_ns,avgwritelat_ns
0,randread,ssd,5615253859,0,5705110.107799,0.0
1,randread,zram,20798873104,0,1365085.702176,0.0
2,randrw,ssd,1689812875,1689058042,9503249.12736,9920115.611336
3,randrw,zram,1798399490,1797596151,8659010.368855,8783580.033982
4,randwrite,ssd,0,2361981052,0.0,13917681.45775
5,randwrite,zram,0,2060306911,0.0,15344514.574036
6,read,ssd,5908811413,0,5399319.691511,0.0
7,read,zram,26329301431,0,1103963.811882,0.0
8,rw,ssd,1707612753,1706849968,9516379.313305,9600053.990122
9,rw,zram,1811671811,1810862544,8567583.326148,8693118.845407
10,write,ssd,0,2318627327,0.0,14039004.078343
11,write,zram,0,2192148677,0.0,14441537.186077
