,crw,cdevice,readBW_bytes,writeBW_bytes,avgreadlat_ns,avgwritelat_ns
0,randread,ssd,6374719548,0,4970672.780756,0.0
1,randread,zram,15625165242,0,1875969.384216,0.0
2,randrw,ssd,1671404254,1670657643,9665380.320051,10069188.982766
3,randrw,zram,1918681011,1917823942,9250804.001939,7010591.28947
4,randwrite,ssd,0,2353729166,0.0,13710770.935373
5,randwrite,zram,0,2076744537,0.0,15566689.170784
6,read,ssd,5892597902,0,5331829.244531,0.0
7,read,zram,14614946136,0,1859390.148246,0.0
8,rw,ssd,1727526604,1726754924,9432245.689224,9511652.475636
9,rw,zram,2020899345,2019996616,9291970.753446,6414567.515023
10,write,ssd,0,2379153743,0.0,13494614.764234
11,write,zram,0,2220338505,0.0,14555123.8956
