,crw,cdevice,readBW_bytes,writeBW_bytes,avgreadlat_ns,avgwritelat_ns
0,randread,ssd,2803732220,0,92359.991109,0.0
1,randread,zram,16161683145,0,12801.565495,0.0
2,randrw,ssd,830210993,829840140,142532.137631,169699.583063
3,randrw,zram,1941661823,1940794489,9493.303089,114558.662552
4,randwrite,ssd,0,1315557790,0.0,197938.412188
5,randwrite,zram,0,2177561212,0.0,111864.31974
6,read,ssd,6635716177,0,38948.47094,0.0
7,read,zram,19918688908,0,10890.125044,0.0
8,rw,ssd,1640919321,1640186328,7178.898374,150555.960693
9,rw,zram,1943418585,1942550467,3365.930147,121927.58108
10,write,ssd,0,1667624653,0.0,156296.985323
11,write,zram,0,2181432186,0.0,111547.940787
