,cbSize,cioengine,ciodepth,crw,cnproc,cdevice,cdirect,cmemlim,cmemlim_bytes,readBW_bytes,readBW,writeBW_bytes,writeBW,avgreadlat_ns,avgreadlat,avgwritelat_ns,avgwritelat,USR_UTIL_perc,SYS_UTIL_perc,IOW_UTIL_perc,IDL_UTIL_perc,CPU_UTIL_perc
0,4096,mmap,1,randread,64,ssd,0,128M,134217728,2169312353,2.0 GB,0,0.0 B,118664.958035,118.7 µs,0.0,0.0 ns,1.132,18.5827,35.94,44.3427,55.6573
1,4096,mmap,1,randread,64,zram,0,128M,134217728,2226813892,2.1 GB,0,0.0 B,113309.115765,113.3 µs,0.0,0.0 ns,0.760714,55.16,0.0,44.0779,55.9221
2,4096,mmap,1,randread,64,ssd,1,128M,134217728,2165757224,2.0 GB,0,0.0 B,119170.546982,119.2 µs,0.0,0.0 ns,0.926667,18.9573,35.7933,44.318,55.682
3,4096,mmap,1,randread,64,zram,1,128M,134217728,2333587229,2.2 GB,0,0.0 B,109182.174161,109.2 µs,0.0,0.0 ns,0.786429,55.07,0.00285714,44.1386,55.8614
4,4096,mmap,1,randread,64,ssd,0,16G,17179869184,2453040506,2.3 GB,0,0.0 B,102840.55612,102.8 µs,0.0,0.0 ns,1.19769,10.5377,42.9138,45.3462,54.6538
5,4096,mmap,1,randread,64,zram,0,16G,17179869184,11094523205,10.3 GB,0,0.0 B,20221.492578,20.2 µs,0.0,0.0 ns,6.345,42.4,0.0,51.25,48.75
6,4096,mmap,1,randread,64,ssd,1,16G,17179869184,2476556030,2.3 GB,0,0.0 B,103810.950593,103.8 µs,0.0,0.0 ns,1.21769,10.2662,43.28,45.2308,54.7692
7,4096,mmap,1,randread,64,zram,1,16G,17179869184,7817915442,7.3 GB,0,0.0 B,28316.743903,28.3 µs,0.0,0.0 ns,3.40667,46.58,0.0,50.0133,49.9867
8,4096,mmap,1,randread,64,ssd,0,1G,1073741824,2602616146,2.4 GB,0,0.0 B,99459.467595,99.5 µs,0.0,0.0 ns,1.29833,7.94833,45.37,45.3775,54.6225
9,4096,mmap,1,randread,64,zram,0,1G,1073741824,7015054791,6.5 GB,0,0.0 B,33321.215496,33.3 µs,0.0,0.0 ns,3.13,49.0475,0.0,47.8175,52.1825
10,4096,mmap,1,randread,64,ssd,1,1G,1073741824,2589279455,2.4 GB,0,0.0 B,99957.894924,100.0 µs,0.0,0.0 ns,1.15417,8.3825,44.7142,45.745,54.255
11,4096,mmap,1,randread,64,zram,1,1G,1073741824,6932957701,6.5 GB,0,0.0 B,33580.398957,33.6 µs,0.0,0.0 ns,2.7775,49.58,0.0,47.6425,52.3575
12,4096,mmap,1,randread,64,ssd,0,256M,268435456,2280463155,2.1 GB,0,0.0 B,112739.527956,112.7 µs,0.0,0.0 ns,1.12286,15.8843,38.1871,44.8021,55.1979
13,4096,mmap,1,randread,64,zram,0,256M,268435456,2906423478,2.7 GB,0,0.0 B,87100.7531,87.1 µs,0.0,0.0 ns,1.05182,54.6036,0.000909091,44.3464,55.6536
14,4096,mmap,1,randread,64,ssd,1,256M,268435456,2276685553,2.1 GB,0,0.0 B,113182.404437,113.2 µs,0.0,0.0 ns,1.11286,16.1021,37.8021,44.9764,55.0236
15,4096,mmap,1,randread,64,zram,1,256M,268435456,2916785939,2.7 GB,0,0.0 B,86845.263007,86.8 µs,0.0,0.0 ns,1.02818,54.6373,0.000909091,44.3309,55.6691
16,4096,mmap,1,randread,64,ssd,0,2G,2147483648,2605181466,2.4 GB,0,0.0 B,99218.946034,99.2 µs,0.0,0.0 ns,1.245,8.03333,45.505,45.2117,54.7883
17,4096,mmap,1,randread,64,zram,0,2G,2147483648,7621947286,7.1 GB,0,0.0 B,30247.075566,30.2 µs,0.0,0.0 ns,3.6,48.02,0.0,48.38,51.62
18,4096,mmap,1,randread,64,ssd,1,2G,2147483648,2571066923,2.4 GB,0,0.0 B,100704.095062,100.7 µs,0.0,0.0 ns,1.27833,8.77083,43.7358,46.2125,53.7875
19,4096,mmap,1,randread,64,zram,1,2G,2147483648,7337121154,6.8 GB,0,0.0 B,31525.194656,31.5 µs,0.0,0.0 ns,2.6575,48.675,0.0,48.6675,51.3325
20,4096,mmap,1,randread,64,ssd,0,32G,34359738368,2565691335,2.4 GB,0,0.0 B,95391.402521,95.4 µs,0.0,0.0 ns,1.24667,8.01917,45.0708,45.6617,54.3383
21,4096,mmap,1,randread,64,zram,0,32G,34359738368,20199728611,18.8 GB,0,0.0 B,10947.344166,10.9 µs,0.0,0.0 ns,8.37,31.2,0.0,60.43,39.57
