,cbSize,cioengine,ciodepth,crw,cnproc,cdevice,cdirect,cmemlim,cmemlim_bytes,readBW_bytes,readBW,writeBW_bytes,writeBW,avgreadlat_ns,avgreadlat,avgwritelat_ns,avgwritelat,USR_UTIL_perc,SYS_UTIL_perc,IOW_UTIL_perc,IDL_UTIL_perc,CPU_UTIL_perc
0,4096,mmap,1,randread,64,ssd,0,16G,17179869184,2551592036,2.4 GB,0,0.0 B,92977.866779,93.0 µs,0.0,0.0 ns,1.2675,8.13,45.115,45.485,54.515
1,4096,mmap,1,randread,64,zram,0,16G,17179869184,12271335131,11.4 GB,0,0.0 B,9500.512254,9.5 µs,0.0,0.0 ns,3.795,42.815,0.0,53.37,46.63
2,4096,mmap,1,randread,64,ssd,1,16G,17179869184,2525522849,2.4 GB,0,0.0 B,93019.463479,93.0 µs,0.0,0.0 ns,1.21077,8.09385,45.1,45.5915,54.4085
3,4096,mmap,1,randread,64,zram,1,16G,17179869184,11803414073,11.0 GB,0,0.0 B,9781.563307,9.8 µs,0.0,0.0 ns,3.55,44.43,0.0,52.01,47.99
4,4096,mmap,1,randread,64,ssd,0,1G,1073741824,2604786473,2.4 GB,0,0.0 B,99249.929529,99.2 µs,0.0,0.0 ns,1.36667,7.925,44.6333,46.0725,53.9275
5,4096,mmap,1,randread,64,zram,0,1G,1073741824,7784263336,7.2 GB,0,0.0 B,31117.551837,31.1 µs,0.0,0.0 ns,3.47333,48.27,0.0,48.2567,51.7433
6,4096,mmap,1,randread,64,ssd,1,1G,1073741824,2591818538,2.4 GB,0,0.0 B,99800.194864,99.8 µs,0.0,0.0 ns,1.215,8.5125,44.1317,46.1383,53.8617
7,4096,mmap,1,randread,64,zram,1,1G,1073741824,7913343705,7.4 GB,0,0.0 B,30138.251342,30.1 µs,0.0,0.0 ns,3.52333,48.3467,0.00333333,48.1267,51.8733
8,4096,mmap,1,randread,64,ssd,0,256M,268435456,2249851909,2.1 GB,0,0.0 B,112123.654406,112.1 µs,0.0,0.0 ns,1.08571,16.7379,37.6129,44.5607,55.4393
9,4096,mmap,1,randread,64,zram,0,256M,268435456,2718118690,2.5 GB,0,0.0 B,92558.780317,92.6 µs,0.0,0.0 ns,0.946667,54.8558,0.0,44.1942,55.8058
10,4096,mmap,1,randread,64,ssd,1,256M,268435456,2294320136,2.1 GB,0,0.0 B,112504.168242,112.5 µs,0.0,0.0 ns,1.16714,15.9986,38.2079,44.62,55.38
11,4096,mmap,1,randread,64,zram,1,256M,268435456,2804647650,2.6 GB,0,0.0 B,91569.795922,91.6 µs,0.0,0.0 ns,0.960909,54.7318,0.0,44.3055,55.6945
12,4096,mmap,1,randread,64,ssd,0,2G,2147483648,2790072137,2.6 GB,0,0.0 B,92596.509367,92.6 µs,0.0,0.0 ns,1.34545,4.33636,45.3982,48.9155,51.0845
13,4096,mmap,1,randread,64,zram,0,2G,2147483648,20140526593,18.8 GB,0,0.0 B,11134.339731,11.1 µs,0.0,0.0 ns,10.09,30.33,0.0,59.57,40.43
14,4096,mmap,1,randread,64,ssd,1,2G,2147483648,2484614821,2.3 GB,0,0.0 B,93003.312455,93.0 µs,0.0,0.0 ns,1.24077,9.11385,43.8577,45.7885,54.2115
15,4096,mmap,1,randread,64,zram,1,2G,2147483648,11718873931,10.9 GB,0,0.0 B,9583.537753,9.6 µs,0.0,0.0 ns,3.245,44.275,0.0,52.465,47.535
16,4096,mmap,1,randread,64,ssd,0,32G,34359738368,2555007314,2.4 GB,0,0.0 B,92849.846567,92.8 µs,0.0,0.0 ns,1.18,7.89833,45.3442,45.575,54.425
17,4096,mmap,1,randread,64,zram,0,32G,34359738368,12315318411,11.5 GB,0,0.0 B,9569.696256,9.6 µs,0.0,0.0 ns,3.77,44.11,0.0,52.12,47.88
18,4096,mmap,1,randread,64,ssd,1,32G,34359738368,2541588754,2.4 GB,0,0.0 B,93158.354587,93.2 µs,0.0,0.0 ns,1.21,7.6975,45.5842,45.5008,54.4992
19,4096,mmap,1,randread,64,zram,1,32G,34359738368,11476198519,10.7 GB,0,0.0 B,10007.049119,10.0 µs,0.0,0.0 ns,3.5,44.665,0.0,51.82,48.18
20,4096,mmap,1,randread,64,ssd,0,4G,4294967296,2544035122,2.4 GB,0,0.0 B,92708.618309,92.7 µs,0.0,0.0 ns,1.2225,7.9675,45.1917,45.615,54.385
21,4096,mmap,1,randread,64,zram,0,4G,4294967296,12306496550,11.5 GB,0,0.0 B,9327.021392,9.3 µs,0.0,0.0 ns,4.07,44.08,0.0,51.85,48.15
22,4096,mmap,1,randread,64,ssd,1,4G,4294967296,2553488285,2.4 GB,0,0.0 B,92635.842192,92.6 µs,0.0,0.0 ns,1.25417,7.87333,45.535,45.3358,54.6642
23,4096,mmap,1,randread,64,zram,1,4G,4294967296,12280106636,11.4 GB,0,0.0 B,9383.947285,9.4 µs,0.0,0.0 ns,4.195,43.405,0.0,52.4,47.6
24,4096,mmap,1,randread,64,ssd,0,512M,536870912,2479415382,2.3 GB,0,0.0 B,104115.187737,104.1 µs,0.0,0.0 ns,1.18385,10.9092,42.4354,45.4654,54.5346
25,4096,mmap,1,randread,64,zram,0,512M,536870912,4097273833,3.8 GB,0,0.0 B,62286.59872,62.3 µs,0.0,0.0 ns,1.49571,53.29,0.00142857,45.2143,54.7857
26,4096,mmap,1,randread,64,ssd,1,512M,536870912,2472991101,2.3 GB,0,0.0 B,104677.788601,104.7 µs,0.0,0.0 ns,1.26308,11.36,42.1554,45.22,54.78
27,4096,mmap,1,randread,64,zram,1,512M,536870912,4249813032,4.0 GB,0,0.0 B,58183.105316,58.2 µs,0.0,0.0 ns,1.66429,53.2529,0.0,45.0757,54.9243
28,4096,mmap,1,randread,64,ssd,0,64G,68719476736,2586161250,2.4 GB,0,0.0 B,92870.475075,92.9 µs,0.0,0.0 ns,1.36,7.58167,45.7417,45.3133,54.6867
29,4096,mmap,1,randread,64,zram,0,64G,68719476736,12214624375,11.4 GB,0,0.0 B,9741.282414,9.7 µs,0.0,0.0 ns,3.82,44.56,0.0,51.62,48.38
30,4096,mmap,1,randread,64,ssd,1,64G,68719476736,2534277796,2.4 GB,0,0.0 B,92903.902347,92.9 µs,0.0,0.0 ns,1.18083,8.43167,44.6167,45.7658,54.2342
31,4096,mmap,1,randread,64,zram,1,64G,68719476736,12201611636,11.4 GB,0,0.0 B,9306.583675,9.3 µs,0.0,0.0 ns,4.46,43.06,0.0,52.465,47.535
32,4096,mmap,1,randread,64,ssd,0,8G,8589934592,2568952401,2.4 GB,0,0.0 B,92931.778651,92.9 µs,0.0,0.0 ns,1.26333,7.64417,45.3617,45.7258,54.2742
33,4096,mmap,1,randread,64,zram,0,8G,8589934592,12018096665,11.2 GB,0,0.0 B,9954.417305,10.0 µs,0.0,0.0 ns,4.265,44.21,0.0,51.52,48.48
34,4096,mmap,1,randread,64,ssd,1,8G,8589934592,2539147086,2.4 GB,0,0.0 B,92936.199422,92.9 µs,0.0,0.0 ns,1.15333,8.30833,44.8633,45.6708,54.3292
35,4096,mmap,1,randread,64,zram,1,8G,8589934592,11913917603,11.1 GB,0,0.0 B,9682.563636,9.7 µs,0.0,0.0 ns,4.615,43.405,0.0,51.96,48.04
36,4096,mmap,1,randrw,64,ssd,0,16G,17179869184,1002199179,955.8 MB,1001751500,955.3 MB,122510.627179,122.5 µs,122084.265451,122.1 µs,0.93875,6.73062,47.4594,44.865,55.135
37,4096,mmap,1,randrw,64,zram,0,16G,17179869184,6462469776,6.0 GB,6459583013,6.0 GB,11159.481576,11.2 µs,9997.419019,10.0 µs,4.65,43.835,0.0,51.5,48.5
38,4096,mmap,1,randrw,64,ssd,1,16G,17179869184,771019299,735.3 MB,770674888,735.0 MB,142785.927418,142.8 µs,173068.915027,173.1 µs,0.738571,5.86714,48.6938,44.6948,55.3052
