zram0,TOTAL_READS(KB),46464068
zram0,TOTAL_WRITES(KB),34751648
zram0,TOTAL_READS(MB),45375
zram0,TOTAL_WRITES(MB),33937
zram0,TOTAL_READS(GB),44
zram0,TOTAL_WRITES(GB),33
,
nvme0n1,TOTAL_READS(KB),0
nvme0n1,TOTAL_WRITES(KB),0
nvme0n1,TOTAL_READS(MB),0
nvme0n1,TOTAL_WRITES(MB),0
nvme0n1,TOTAL_READS(GB),0
nvme0n1,TOTAL_WRITES(GB),0
,
zram0,rMB/s,0
zram0,wMB/s,1.03226
zram0,AVGRQ-SZ,264886
zram0,AVGQU-SZ,1034.71
zram0,DEV_UTIL,0
,
nvme0n1,rMB/s,
nvme0n1,wMB/s,
nvme0n1,AVGRQ-SZ,
nvme0n1,AVGQU-SZ,
nvme0n1,DEV_UTIL,
,
